element_symbol,element_name,type,subtype,class,subclass,biosample_acc,asm_acc,target_acc,start_on_contig,end_on_contig,strand,pct_ref_coverage,pct_ref_identity
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441796,GCA_024720325.1,PDT001395436.2,16329,17516,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441787,GCA_024720555.1,PDT001395447.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441849,GCA_024719295.1,PDT001395384.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788386,GCA_003969715.1,PDT000425016.1,9815,11005,-,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441845,GCA_024719375.1,PDT001395388.2,24388,25575,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441862,GCA_024719005.1,PDT001395370.2,9821,11008,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441814,GCA_024719995.1,PDT001395419.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788317,GCA_003968445.1,PDT000424964.1,16370,17560,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441840,GCA_024719455.1,PDT001395392.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441959,GCA_024715975.1,PDT001395222.2,24379,25566,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441968,GCA_024715735.1,PDT001395210.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441824,GCA_024719775.1,PDT001395408.2,39926,41113,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441938,GCA_024716295.1,PDT001395238.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442021,GCA_024714655.1,PDT001395156.2,24359,25546,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN36726658,GCA_032335095.2,PDT001830568.2,2187,3377,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441841,GCA_024719495.1,PDT001395394.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441861,GCA_024719045.1,PDT001395372.2,15607,16794,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441984,GCA_024715415.1,PDT001395194.2,24394,25581,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291535,GCA_003073795.1,PDT000311292.1,2756958,2758148,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442028,GCA_024714535.1,PDT001395150.2,24392,25579,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441866,GCA_024718945.1,PDT001395368.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441897,GCA_024717195.1,PDT001395283.2,24404,25591,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN05806171,GCA_021712775.1,PDT000150947.2,1,820,+,68.69,98.9
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441875,GCA_024718755.1,PDT001395358.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441830,GCA_024719675.1,PDT001395403.2,24386,25396,-,85.1,99.11
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441896,GCA_024717215.1,PDT001395284.2,24390,25577,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291551,GCA_003288435.1,PDT000343390.1,101864,103054,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442014,GCA_024714815.1,PDT001395164.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441777,GCA_024720715.1,PDT001395455.2,41285,42472,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441805,GCA_024720155.1,PDT001395427.2,24392,25579,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441827,GCA_024719735.1,PDT001395407.2,24388,25575,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442012,GCA_024714895.1,PDT001395168.2,9810,10997,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441962,GCA_024715835.1,PDT001395215.2,15484,16671,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN03316892,GCA_000937465.2,PDT000050773.2,633860,635050,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788344,GCA_003968955.1,PDT000424978.1,40028,41218,-,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441877,GCA_024718715.1,PDT001395356.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN05806171,GCA_021712775.1,PDT000150947.2,40372,41562,-,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441946,GCA_024716185.1,PDT001395233.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441997,GCA_024715135.1,PDT001395180.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441913,GCA_024716825.1,PDT001395265.2,24383,25570,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291502,GCA_003000695.1,PDT000294806.1,5072682,5073872,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN36409446,GCA_030504695.1,PDT001823069.1,91825,93015,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN34104070,GCA_029635965.2,PDT001684052.2,1,773,+,64.9,99.61
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441982,GCA_024715455.1,PDT001395196.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441893,GCA_024717155.1,PDT001395281.2,6088,7275,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441890,GCA_024717315.1,PDT001395289.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN34104072,GCA_029635985.1,PDT001684050.1,870,2060,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788393,GCA_003969485.1,PDT000425003.1,207971,209161,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441834,GCA_024719585.1,PDT001395399.2,24390,25577,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441934,GCA_024716375.1,PDT001395242.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291495,GCA_003324465.1,PDT000352617.1,3255437,3256627,+,100.0,99.49
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441800,GCA_024720235.1,PDT001395431.2,24370,25557,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442002,GCA_024715055.1,PDT001395176.2,40380,41567,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441803,GCA_024720245.1,PDT001395432.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN34104072,GCA_029635985.1,PDT001684050.1,222041,223231,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441879,GCA_024718675.1,PDT001395354.2,24405,25592,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441902,GCA_024717055.1,PDT001395278.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788402,GCA_003970005.1,PDT000425029.1,17040,18230,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441810,GCA_024720065.1,PDT001395423.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441819,GCA_024719895.1,PDT001395414.2,24400,25587,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441958,GCA_024715915.1,PDT001395220.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441974,GCA_024715615.1,PDT001395204.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441852,GCA_024719205.1,PDT001395381.2,9820,11007,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441782,GCA_024720615.1,PDT001395451.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441906,GCA_024716995.1,PDT001395273.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN40930681,GCA_038080935.1,PDT002136286.1,15433,16623,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441820,GCA_024719875.1,PDT001395413.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441878,GCA_024718695.1,PDT001395355.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441887,GCA_024717415.1,PDT001395295.2,24399,25586,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442027,GCA_024714555.1,PDT001395151.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441990,GCA_024715325.1,PDT001395189.2,40381,41568,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441818,GCA_024719915.1,PDT001395415.2,17649,18836,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788384,GCA_003969355.1,PDT000424996.1,23544,24734,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441936,GCA_024716395.1,PDT001395244.2,40026,41213,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441947,GCA_024716115.1,PDT001395229.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291553,GCA_003288335.1,PDT000343385.1,1689438,1690628,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441945,GCA_024716175.1,PDT001395232.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788392,GCA_003969775.1,PDT000425018.1,14351,15541,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441843,GCA_024719405.1,PDT001395389.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441854,GCA_024719195.1,PDT001395380.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441899,GCA_024717125.1,PDT001395279.2,9844,11031,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441811,GCA_024720035.1,PDT001395421.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441911,GCA_024716895.1,PDT001395268.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441817,GCA_024719925.1,PDT001395416.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441963,GCA_024715895.1,PDT001395218.2,9800,10987,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441883,GCA_024718565.1,PDT001395349.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788383,GCA_003969305.1,PDT000424995.1,9805,10995,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441781,GCA_024720605.1,PDT001395450.2,9795,10982,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788394,GCA_003969795.1,PDT000425019.1,16861,18051,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441790,GCA_024720475.1,PDT001395443.2,15607,16794,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441915,GCA_024716765.1,PDT001395262.2,24391,25578,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788331,GCA_003968235.1,PDT000424955.1,40372,41562,-,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788396,GCA_003969475.1,PDT000425002.1,93731,94921,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441804,GCA_024720195.1,PDT001395429.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441870,GCA_024718855.1,PDT001395363.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441904,GCA_024716975.1,PDT001395272.2,39919,41106,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442010,GCA_024714845.1,PDT001395166.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN03316899,GCA_000937495.2,PDT000050775.2,22303,23493,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441791,GCA_024720455.1,PDT001395442.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441972,GCA_024715655.1,PDT001395206.2,24505,25692,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441798,GCA_024720315.1,PDT001395435.2,24384,25571,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN40930681,GCA_038080935.1,PDT002136286.1,130889,132079,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442026,GCA_024714565.1,PDT001395152.2,15606,16793,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291536,GCA_003074115.1,PDT000311295.1,294049,295239,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441808,GCA_024720135.1,PDT001395426.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN04014936,GCA_002997005.1,PDT000294804.1,6102597,6103787,-,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441954,GCA_024716075.1,PDT001395227.2,9818,11005,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441842,GCA_024719435.1,PDT001395391.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441957,GCA_024715935.1,PDT001395219.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441872,GCA_024718815.1,PDT001395361.2,9821,11008,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN33329571,GCA_030253475.1,PDT001778385.1,3002046,3003236,+,100.0,98.48
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN36409445,GCA_030504675.1,PDT001823068.1,17910,19100,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291494,GCA_003000795.1,PDT000294808.1,6257543,6258733,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441961,GCA_024715845.1,PDT001395216.2,24382,25569,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291498,GCA_003000655.1,PDT000294805.1,5965276,5966466,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442017,GCA_024714755.1,PDT001395161.2,24392,25579,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441975,GCA_024715575.1,PDT001395203.2,9789,10976,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441783,GCA_024720655.1,PDT001395452.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441950,GCA_024716135.1,PDT001395230.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291497,GCA_002968585.1,PDT000292994.1,1391372,1392562,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441907,GCA_024716905.1,PDT001395269.2,16329,17516,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441956,GCA_024715925.1,PDT001395221.2,9798,10985,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN23150585,GCA_021245785.1,PDT001211266.1,24373,25563,-,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441850,GCA_024719275.1,PDT001395383.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441789,GCA_024720485.1,PDT001395444.2,16329,17516,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441871,GCA_024718835.1,PDT001395362.2,15615,16802,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441985,GCA_024715425.1,PDT001395195.2,41285,42472,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442018,GCA_024714735.1,PDT001395160.2,24403,25590,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441917,GCA_024716735.1,PDT001395260.2,24384,25571,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441980,GCA_024715505.1,PDT001395200.2,24398,25585,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441831,GCA_024719655.1,PDT001395402.2,24392,25579,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441986,GCA_024715355.1,PDT001395191.2,40164,41351,-,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788395,GCA_003969495.1,PDT000425004.1,15606,16796,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN09788333,GCA_003968275.1,PDT000424957.1,214545,215735,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441898,GCA_024717115.1,PDT001395280.2,15608,16795,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441937,GCA_024716405.1,PDT001395243.2,15603,16790,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441951,GCA_024716095.1,PDT001395228.2,15653,16840,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441882,GCA_024718605.1,PDT001395351.2,16329,17516,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442016,GCA_024714765.1,PDT001395162.2,40381,41568,-,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29441901,GCA_024717035.1,PDT001395274.2,15606,16793,+,100.0,99.24
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN07291552,GCA_003324255.1,PDT000352612.1,3349649,3350839,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN34104070,GCA_029635965.2,PDT001684052.2,98847,100037,+,100.0,98.99
mexX,multidrug efflux RND transporter periplasmic adaptor subunit MexX,AMR,AMR,EFFLUX,EFFLUX,SAMN29442003,GCA_024715035.1,PDT001395175.2,190025,191212,+,100.0,98.99
